"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"h>AKAP8",0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AKAP8L",1.19633956495229,-0.0831865276270364,0.101682731516338,-0.818098868770752,0.413300734772004,NA
"h>AKAP9",2.38599871364524,0.179395029746657,0.106045788596006,1.69167519164842,0.0907079210938601,NA
"h>AKIRIN1",0.348777531944442,0.00791016904840778,0.0491663064584069,0.160885972898931,0.872183210384487,NA
"h>AKIRIN2",0.752099260781351,-0.0102017540226547,0.0837342284030523,-0.121834931989208,0.903029748291891,NA
"h>AKNA",0.787377383935842,0.103442902507854,0.073738074291688,1.40284247319318,0.160663818395812,NA
"h>AKR1A1",0.227199559520143,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AKR1B1",0.227199559520143,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AKT1",1.12049301582567,0.0384103360459826,0.085520670671848,0.44913511253165,0.653334192375782,NA
"h>AKT3",6.52530457816046,0.211853000626255,0.159227884498557,1.33050188598201,0.183352965377532,0.786036652474614
"h>AKTIP",0.504838876602377,-0.0300809613282965,0.0535383312316797,-0.561858403806524,0.574212496215164,NA
"h>ALAS1",0.480940339517796,-0.00609506591782119,0.061397365081228,-0.0992724347332738,0.920921964180385,NA
"h>ALAS2",0.617728600453464,0.0110335865269635,0.0732123082055206,0.150706715816009,0.880207075293639,NA
"h>ALCAM",1.81481212733215,0.131478805566998,0.125129339781349,1.05074322134796,0.293376539450535,NA
"h>ALDH16A1",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ALDH1A1",0.67344180902173,-0.0938752682758639,0.0689389226947766,-1.36171649637595,0.173287373123401,NA
"h>ALDH1A2",0.498553480550587,-0.00392820320435938,0.0618165489840915,-0.063546142075487,0.949331617400759,NA
"h>ALDH2",0.477000835315818,0.0365185971275049,0.0685830877861043,0.532472338390456,0.59439889527711,NA
"h>ALDH3A2",0.258143364212271,-0.0219920712732397,0.0454699840686667,-0.483661292689883,0.628626267855918,NA
"h>ALDH5A1",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>ALDOA",5.58565676540654,0.236531808572118,0.179594260540251,1.31703434096718,0.18782711382251,0.791660261509239
"h>ALG13",0.343614269032509,0.0301737126299423,0.0490133764130418,0.615621996241692,0.538144030342105,NA
"h>ALG1L",0.6064210197438,0.0427182479881076,0.066325560627988,0.644069158008465,0.519530588986966,NA
"h>ALG9",0.253702846860947,-0.020657135909029,0.0440863492650921,-0.468560818788084,0.639383588994514,NA
"h>ALKBH1",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ALKBH8",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ALMS1",0.338162613777128,0.0299562025898618,0.0488391632512117,0.613364369814805,0.539635439754132,NA
