"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"80",1600015I10Rik,3.5723548784159,-0.043578322503498,0.154804311851299,-0.281505870103659,0.778322426364007,NA
"81",1600019K03Rik,0.628058591207959,-0.0542718400532032,0.0663257880970014,-0.818261518036254,0.413207874550342,NA
"82",1600020E01Rik,18.5424436491813,-0.128224378265156,0.198545148517912,-0.645819750431164,0.518396095645406,0.942855079811999
"83",1600023N17Rik,1.42093879938708,0.0559292089256015,0.101491295154509,0.551073950139817,0.581582982020733,NA
"84",1600025M17Rik,0.485301836880185,0.0299291758591209,0.061519648090344,0.486497839115867,0.626614237049701,NA
"85",1600027J07Rik,2.42922847231451,-0.282536767295006,0.13344960872541,-2.11717943569518,0.0342446219970563,NA
"86",1600029I14Rik,7.23216471766535,0.159230445592838,0.179708688928725,0.886047561428656,0.375591898533861,0.906060795996236
"87",1600029O15Rik,0.951426872997525,-0.109410837448834,0.0851734074006527,-1.2845656970628,0.198944092167842,NA
"88",1700001C02Rik,14.3689322091522,0.0229478146337271,0.198591746801283,0.115552710539827,0.908007043270118,0.997353142155536
"89",1700001C19Rik,1.13203435496025,0.0433145867984966,0.0943597928778529,0.459036475997426,0.646207972501273,NA
"90",1700001D01Rik,11.6524982972238,0.119946413476397,0.193185614736379,0.620886879388382,0.534674054576682,0.946996672460963
"91",1700001G01Rik,2.50264677650902,-0.2496195887317,0.134132108838097,-1.86099801825229,0.0627444565523116,NA
"92",1700001G11Rik,0.680093923379976,-0.0263534153064615,0.0660289995954183,-0.39911880337333,0.68980566790526,NA
"93",1700001G17Rik,1.0936457819657,0.0497583248938276,0.0943665655835798,0.52728765305925,0.597993847094483,NA
"94",1700001J03Rik,1.13732102343785,-0.0651041553514069,0.0931310453455211,-0.699059643428967,0.48451475775997,NA
"95",1700001J11Rik,9.93571773081166,-0.0219421903382425,0.186489999979976,-0.117658803906904,0.906338009696784,0.997353142155536
"96",1700001K19Rik,3.14421490490915,-0.0683599135456057,0.130249831281135,-0.524836868295482,0.599696599493941,NA
"97",1700001K23Rik,2.98515077575687,-0.0826127416320257,0.153669487086417,-0.537600165123007,0.590853116211116,NA
"98",1700001L05Rik,28.9718165695587,0.169729991492927,0.197387048622746,0.859884134633988,0.38985291490385,0.910264949769259
"99",1700001L19Rik,8.06297067274645,-0.0498732441695697,0.187498345733342,-0.265992982362089,0.790244613664891,0.991812485564529
"100",1700001O22Rik,1.41737122774585,-0.0315898379944189,0.0993256769509636,-0.318043017315801,0.75045230656918,NA
"101",1700001P01Rik,1.76999005448507,-0.178661990870447,0.117085473675498,-1.52591081764428,0.127032076255525,NA
"102",1700003C15Rik,1.05286500077406,-0.113753284284557,0.100914033789235,-1.12722958356949,0.259645425592364,NA
"103",1700003D09Rik,1.6379934208245,-0.0817177158142748,0.116987885307475,-0.698514342741552,0.484855591356925,NA
"104",1700003E16Rik,17.3698036147798,-0.107861320150534,0.198240228928612,-0.54409400520505,0.586376785525823,0.962666174230563
"105",1700003F12Rik,1.50450856206446,-0.14646814276681,0.101666551257591,-1.44067189213201,0.14967739933723,NA
"106",1700003G13Rik,0.491034243653173,-0.0047624752968771,0.0617474926189416,-0.0771282378422629,0.938521529354096,NA
"107",1700003G18Rik,0.647603384871623,0.00687004115784974,0.0660943045839591,0.103943012958443,0.91721457255282,NA
"108",1700003H04Rik,0.650017241227015,-0.0286063531267193,0.0740727104052948,-0.386192876839491,0.699353828784916,NA
"109",1700003L19Rik,0.889123608336137,-0.0889689684892188,0.0953311846349961,-0.933261962807481,0.350684729231692,NA
"110",1700003M02Rik,37.396539514887,-0.0755455271905102,0.192813972754845,-0.391805252032037,0.695202114154562,0.983548350792568
"111",1700003M07Rik,1.781399890101,-0.154923413900473,0.101074702706817,-1.53276150957231,0.125334627531205,NA
"112",1700003P14Rik,0.73949561475481,-0.00706492225285599,0.0770058577019753,-0.0917452576166133,0.926900438619475,NA
"113",1700006A11Rik,2.60439359144618,-0.292516200193699,0.127119827354205,-2.30110602163293,0.021385639055104,NA
"114",1700006F04Rik,1.08476555440461,0.00738800263188875,0.0934440066356255,0.079063418809699,0.936982179955989,NA
"115",1700006H21Rik,0.279565986676337,-0.0230810699858408,0.046566641959213,-0.495656740850181,0.620136612792556,NA
"116",1700007B14Rik,2.06540234862959,-0.15353114259345,0.127886837939465,-1.20052340856315,0.22993612698953,NA
"117",1700007F19Rik,2.04685547539857,-0.108943797458268,0.127545569926415,-0.854155871670975,0.393018630030266,NA
"118",1700007G11Rik,15.0385785651226,0.0136794234972323,0.19569825950806,0.069900588444778,0.944272784765659,0.998297700541361
"119",1700007J10Rik,8.83888155731866,0.0991602935704772,0.188946909955367,0.524805055525389,0.599718716745349,0.965736165519324
"120",1700007K09Rik,1.16846672586478,-0.17500226127241,0.102392876468401,-1.70912535430545,0.0874277320048552,NA
"121",1700007K13Rik,22.6709560113671,0.102771803415084,0.19856783335946,0.517565215253368,0.604761656659042,0.966907092920345
"122",1700007L15Rik,2.41275948943431,-0.123891354821337,0.134005539912602,-0.924524127152792,0.355213495650808,NA
"123",1700007P06Rik,1.34526863685475,0.0897064908700135,0.109496973671894,0.819260002005332,0.412638087816131,NA
"124",1700008C04Rik,0.390529040933321,-0.0211686703540619,0.0591001372493484,-0.358183099723601,0.720206293834952,NA
"125",1700008J07Rik,9.30001747055257,0.064146124717568,0.185203864360624,0.346354137582488,0.729076587415066,0.987135077538626
"126",1700008K24Rik,0.541501870596071,-0.0417906721845116,0.062830304130184,-0.66513560236668,0.505963764979569,NA
"127",1700008O03Rik,1.99623728591489,-0.0570310508277414,0.121728485097453,-0.468510314427092,0.639419696673157,NA
"128",1700008P02Rik,2.21725030404864,-0.0893650189676071,0.124355518472422,-0.718625277473513,0.472371834448506,NA
"129",1700009J07Rik,0.51142518844311,-0.0401074859138603,0.0627328223175854,-0.639338139623559,0.522602982165875,NA
"130",1700009N14Rik,0.227288661644747,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"131",1700010B08Rik,0.45553108936292,-0.0296562242691623,0.0440863492650921,-0.672684964020017,0.501147735341023,NA
"132",1700010I02Rik,0.622809265330203,-0.0543458805319552,0.0661726146381118,-0.821274492917723,0.41148993325043,NA
"133",1700010I14Rik,10.35744284919,-0.103383002674475,0.191908445558075,-0.538710020675923,0.590086958289702,0.963785034416131
"134",1700010J16Rik,1.05685567396393,-0.150127584853566,0.0968520838789357,-1.55007077639367,0.121124529327344,NA
